date,value,cash,positions
2025-07-23 00:00:00-04:00,106166.80204286195,87675.31258668519,1
2025-07-24 00:00:00-04:00,106485.94224061586,87675.31258668519,1
2025-07-25 00:00:00-04:00,106421.9527844391,87675.31258668519,1
2025-07-28 00:00:00-04:00,106512.44605340577,106512.44605340577,0
2025-07-29 00:00:00-04:00,106512.44605340577,106512.44605340577,0
2025-07-30 00:00:00-04:00,106512.44605340577,106512.44605340577,0
2025-07-31 00:00:00-04:00,106474.40275296022,68431.10230740358,2
2025-08-01 00:00:00-04:00,104396.70455673219,70497.50271347047,2
2025-08-04 00:00:00-04:00,105368.91164901735,70497.50271347047,2
2025-08-05 00:00:00-04:00,104821.39962509157,70497.50271347047,2
2025-08-06 00:00:00-04:00,104927.89986923219,70497.50271347047,2
2025-08-07 00:00:00-04:00,104564.12386825563,70497.50271347047,2
2025-08-08 00:00:00-04:00,104759.78120040895,56405.83295822145,3
2025-08-11 00:00:00-04:00,104643.06409835817,56405.83295822145,3
2025-08-12 00:00:00-04:00,105598.43217086793,56405.83295822145,3
2025-08-13 00:00:00-04:00,104987.39373262026,45144.963450027484,4
2025-08-14 00:00:00-04:00,104951.7430063019,45144.963450027484,4
2025-08-15 00:00:00-04:00,104806.70061738588,45144.963450027484,4
2025-08-18 00:00:00-04:00,104170.87960371401,61580.14072737124,3
2025-08-19 00:00:00-04:00,103058.65617468263,88970.57939245607,1
2025-08-20 00:00:00-04:00,102901.39970495607,88970.57939245607,1
2025-08-21 00:00:00-04:00,102931.45326330568,88970.57939245607,1
2025-08-22 00:00:00-04:00,103374.56620886232,88970.57939245607,1
2025-08-25 00:00:00-04:00,103527.73450277711,103527.73450277711,0
2025-08-26 00:00:00-04:00,103527.73450277711,103527.73450277711,0
2025-08-27 00:00:00-04:00,103527.73450277711,103527.73450277711,0
2025-08-28 00:00:00-04:00,103507.23717547608,83009.90987445069,1
2025-08-29 00:00:00-04:00,103630.2381367798,83009.90987445069,1
2025-09-02 00:00:00-04:00,103479.15222979737,83009.90987445069,1
2025-09-03 00:00:00-04:00,105306.04057864382,84360.60246829226,1
2025-09-04 00:00:00-04:00,105404.36821224977,67610.5897088318,2
2025-09-05 00:00:00-04:00,105158.61261227418,67610.5897088318,2
2025-09-08 00:00:00-04:00,105248.84590390016,67610.5897088318,2
2025-09-09 00:00:00-04:00,105109.19748165895,67610.5897088318,2
2025-09-10 00:00:00-04:00,103863.65277658083,87510.22264657594,1
2025-09-11 00:00:00-04:00,103836.67242990114,87510.22264657594,1
2025-09-12 00:00:00-04:00,103692.67356365969,103692.67356365969,0
2025-09-15 00:00:00-04:00,103672.05740417482,83055.89791931154,1
2025-09-16 00:00:00-04:00,104057.58194030763,83055.89791931154,1
2025-09-17 00:00:00-04:00,103969.15463317872,83055.89791931154,1
2025-09-18 00:00:00-04:00,104091.28250183107,83055.89791931154,1
2025-09-19 00:00:00-04:00,104011.55495422365,53714.74892395022,3
2025-09-22 00:00:00-04:00,104279.29235183718,43055.31305801394,4
2025-09-23 00:00:00-04:00,103454.8878122864,63414.11332192995,3
2025-09-24 00:00:00-04:00,103251.34639993288,63414.11332192995,3
2025-09-25 00:00:00-04:00,103520.36643472292,63414.11332192995,3
2025-09-26 00:00:00-04:00,103565.36666360476,63414.11332192995,3
2025-09-29 00:00:00-04:00,103786.93014016726,63414.11332192995,3
2025-09-30 00:00:00-04:00,104141.00600744631,80424.84072424319,2
2025-10-01 00:00:00-04:00,104223.1031143799,80424.84072424319,2
2025-10-02 00:00:00-04:00,104219.95711828615,80424.84072424319,2
2025-10-03 00:00:00-04:00,104186.38219763186,80424.84072424319,2
2025-10-06 00:00:00-04:00,104345.09029699709,80424.84072424319,2
2025-10-07 00:00:00-04:00,104201.81594396975,80424.84072424319,2
2025-10-08 00:00:00-04:00,104459.52294470217,80424.84072424319,2
2025-10-09 00:00:00-04:00,104599.19634558108,80424.84072424319,2
2025-10-10 00:00:00-04:00,103755.91002813722,93133.22100225832,1
2025-10-13 00:00:00-04:00,104055.17342535402,93133.22100225832,1
2025-10-14 00:00:00-04:00,103563.93832156374,103563.93832156374,0
2025-10-15 00:00:00-04:00,103563.93832156374,103563.93832156374,0
2025-10-16 00:00:00-04:00,103563.93832156374,103563.93832156374,0
2025-10-17 00:00:00-04:00,103563.93832156374,103563.93832156374,0
2025-10-20 00:00:00-04:00,103563.93832156374,103563.93832156374,0
2025-10-21 00:00:00-04:00,103543.42545224002,83030.55612850955,1
2025-10-22 00:00:00-04:00,103016.21848202517,83030.55612850955,1
2025-10-23 00:00:00-04:00,102892.39633847048,83030.55612850955,1
2025-10-24 00:00:00-04:00,102858.90055001834,66649.93418038943,2
2025-10-27 00:00:00-04:00,103497.401587616,66649.93418038943,2
2025-10-28 00:00:00-04:00,103276.89335226444,53681.17222189334,3
2025-10-29 00:00:00-04:00,103450.79395684818,45581.34775933841,4
2025-10-30 00:00:00-04:00,101908.43887323001,55560.26205438236,3
2025-10-31 00:00:00-04:00,101958.23095626835,54478.32949752812,3
2025-11-03 00:00:00-05:00,102822.62702981572,66078.00660745244,2
