,date,value,price,cummax,drawdown,daily_return
27,2025-10-21 00:00:00-04:00,100000.0,442.6000061035156,100000.0,0.0,0.0
28,2025-10-22 00:00:00-04:00,99183.24890136719,438.9700012207031,100000.0,-0.008167510986328124,-0.008167510986328175
29,2025-10-23 00:00:00-04:00,101435.50109863281,448.9800109863281,101435.50109863281,0.0,0.022707989728239175
30,2025-10-24 00:00:00-04:00,98001.99890136719,433.7200012207031,101435.50109863281,-0.033849117518796414,-0.03384911751879638
31,2025-10-27 00:00:00-04:00,102209.50164794922,452.4200134277344,102209.50164794922,0.0,0.04293282579691682
32,2025-10-28 00:00:00-04:00,104038.74588012695,460.54998779296875,104038.74588012695,0.0,0.017897007642972307
33,2025-10-29 00:00:00-04:00,104254.75082397461,461.510009765625,104254.75082397461,0.0,0.0020761971131075807
34,2025-10-30 00:00:00-04:00,99437.5,440.1000061035156,104254.75082397461,-0.046206535298407,-0.046206535298407014
35,2025-10-31 00:00:00-04:00,103140.99807739258,456.55999755859375,104254.75082397461,-0.010682992744019015,0.037244480979435
36,2025-11-03 00:00:00-05:00,105798.24752807617,468.3699951171875,105798.24752807617,0.0,0.02576327067040496
37,2025-11-04 00:00:00-05:00,100373.50082397461,444.260009765625,105798.24752807617,-0.05127444764774551,-0.05127444764774547
38,2025-11-05 00:00:00-05:00,104380.7502746582,462.07000732421875,105798.24752807617,-0.013398116571276862,0.03992338035226162
39,2025-11-06 00:00:00-05:00,100744.7494506836,445.9100036621094,105798.24752807617,-0.04776542329825934,-0.03483401694667998
40,2025-11-07 00:00:00-05:00,97056.99615478516,429.5199890136719,105798.24752807617,-0.08262189192662486,-0.03660491803301036
41,2025-11-10 00:00:00-05:00,100176.75247192383,445.2300109863281,105798.24752807617,-0.05313410370677966,0.03214354905609618
42,2025-11-11 00:00:00-05:00,100176.75247192383,439.6199951171875,105798.24752807617,-0.05313410370677966,0.0
43,2025-11-12 00:00:00-05:00,100176.75247192383,430.6000061035156,105798.24752807617,-0.05313410370677966,0.0
44,2025-11-13 00:00:00-05:00,100176.75247192383,401.989990234375,105798.24752807617,-0.05313410370677966,0.0
45,2025-11-14 00:00:00-05:00,100176.75247192383,404.3500061035156,105798.24752807617,-0.05313410370677966,0.0
46,2025-11-17 00:00:00-05:00,100176.75247192383,408.9200134277344,105798.24752807617,-0.05313410370677966,0.0
47,2025-11-18 00:00:00-05:00,100176.75247192383,401.25,105798.24752807617,-0.05313410370677966,0.0
48,2025-11-19 00:00:00-05:00,100176.75247192383,403.989990234375,105798.24752807617,-0.05313410370677966,0.0
49,2025-11-20 00:00:00-05:00,100176.75247192383,395.2300109863281,105798.24752807617,-0.05313410370677966,0.0
50,2025-11-21 00:00:00-05:00,100176.75247192383,391.0899963378906,105798.24752807617,-0.05313410370677966,0.0
51,2025-11-24 00:00:00-05:00,100176.75247192383,417.7799987792969,105798.24752807617,-0.05313410370677966,0.0
52,2025-11-25 00:00:00-05:00,100176.75247192383,419.3999938964844,105798.24752807617,-0.05313410370677966,0.0
53,2025-11-26 00:00:00-05:00,100176.75247192383,426.5799865722656,105798.24752807617,-0.05313410370677966,0.0
54,2025-11-28 00:00:00-05:00,100176.75247192383,430.1700134277344,105798.24752807617,-0.05313410370677966,0.0
55,2025-12-01 00:00:00-05:00,100176.75247192383,430.1400146484375,105798.24752807617,-0.05313410370677966,0.0
56,2025-12-02 00:00:00-05:00,100176.75247192383,429.239990234375,105798.24752807617,-0.05313410370677966,0.0
57,2025-12-03 00:00:00-05:00,104254.25247192383,446.739990234375,105798.24752807617,-0.014593767781858643,0.04070305634176741
